,Artist,Artist ID,Followers,Genre
0,Måneskin,0lAWpj5szCSwM4rUMHYmrr,5795268,"['indie rock italiano', 'italian pop']"
1,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,3566183,['australian hip hop']
2,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,15763201,['pop']
3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,95545600,"['pop', 'uk pop']"
4,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,10406534,"['lgbtq+ hip hop', 'pop']"
6,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,17698668,"['dance pop', 'pop']"
7,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,10769911,"['puerto rican pop', 'trap latino']"
8,Bad Bunny,4q3ewBCX7sLwd24euuV69X,46666323,"['latin', 'reggaeton', 'trap latino']"
10,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,33306547,"['dance pop', 'pop', 'uk pop']"
11,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,33441005,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
12,BTS,3Nrfpe0tUJi4K4DXYWgMUX,48171250,"['k-pop', 'k-pop boy group']"
13,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,59248968,"['canadian pop', 'pop']"
17,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,43744539,"['canadian contemporary r&b', 'canadian pop', 'pop']"
18,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,3022118,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
20,Mora,0Q8NcsJwoCbZOHHW63su5S,372310,"['latin', 'reggaeton', 'trap latino']"
23,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,2704287,"['gauze pop', 'indietronica', 'shiver pop']"
26,Farruko,329e4yvIujISKGKz1BZZbO,12716857,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
27,Post Malone,246dkjvS1zLTtiykXe5h60,36550092,"['dfw rap', 'melodic rap', 'rap']"
28,Riton,7i9j813KFoSBMldGqlh2Z1,97002,"['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']"
29,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,567835,['australian hip hop']
30,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,39649941,"['dance pop', 'pop']"
31,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,26227578,"['dance pop', 'pop', 'post-teen pop']"
33,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,18751273,"['colombian pop', 'latin', 'reggaeton colombiano']"
34,Harry Styles,6KImCVD70vtIoJWnq6nGn3,19916220,['pop']
35,Polo G,6AgTAQt8XS6jRWi4sX7w49,7238694,['chicago rap']
37,Sech,77ziqFxp5gaInVrF2lj4ht,10486908,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']"
39,TINI,7vXDAI8JwjW531ouMGbfcp,4132082,"['latin pop', 'pop argentino']"
43,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,6300426,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
44,Galantis,4sTQVOfp9vEMCemLw50sbu,3211658,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
45,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,1637770,"['cali rap', 'pop rap']"
46,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1,1650314,['trap argentino']
47,Wisin,3E6xrwgnVfYCrCs0ePERDz,7680915,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
48,Bella Poarch,26cMerAxjx9GedFt0lMDjm,741322,['modern alternative pop']
49,Bizarrap,716NhGYqD1jl2wI1Qkgq36,5124631,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']"
50,Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,80963,"['rap espanol', 'spanish pop']"
51,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,60389862,"['art pop', 'electropop', 'pop']"
52,Majestic,6QMABvTzixnxzsLYyhqRxI,41432,"['house', 'pop dance', 'uk dance']"
53,Marshmello,64KEffDW9EtZ1y2vBYgq8T,33415088,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
54,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,698985,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']"
55,João Gomes,4JNo6Q5KdcRf1vtSX9mB0S,2773059,['arrocha']
57,Maroon 5,04gDigrS5kc9YWfZHwBETP,35957153,"['pop', 'pop rock']"
58,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,13466066,"['dance pop', 'piano rock', 'pop', 'pop rock']"
59,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,6360320,"['dance pop', 'houston rap', 'pop', 'trap queen']"
60,ATB,7jZM5w05mGhw6wTB1okhD9,331000,"['german dance', 'german techno', 'german trance', 'trance']"
63,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,2057048,"['pop', 'r&b']"
65,Trinidad Cardona,4wP1kxjUsc9IR4Iy2smL7o,140006,[]
66,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,8664989,"['modern alternative rock', 'modern rock', 'pop']"
67,Maluma,1r4hJ1h58CWwUQe3MxPuau,30507223,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
68,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,9430903,"['pop', 'uk pop']"
69,Smiley,6jeg7JBX9J9097esK752iR,28812,"['canadian hip hop', 'toronto rap']"
70,Sleepy Hallow,6EPlBSH2RSiettczlz7ihV,818280,"['brooklyn drill', 'nyc rap']"
71,KAROL G,790FomKkXshlbRYZFtlgla,23623715,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
72,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,3417903,"['latin', 'reggaeton', 'trap latino']"
73,Shouse,2TcGJdSOiOvITBzhvfX8XB,71190,['aussietronica']
75,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,2782311,"['colombian pop', 'dance pop', 'pop', 'r&b']"
76,Gera MX,2hejA1Dkf8v8R0koF44FvW,3027798,"['mexican hip hop', 'rap conciencia']"
77,Los Legendarios,0n6sKrG0xKAf8xmdqeNGke,73199,"['reggaeton', 'reggaeton flow', 'trap latino']"
78,Tones And I,2NjfBq1NflQcKSeiDooVjY,2951614,"['australian pop', 'pop']"
80,Drake,3TVXtAsR1Inumwj472S9r4,62603156,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
81,Bo Burnham,2Waw2sSbqvAwK8NwACNjVo,1422946,['comic']
83,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,20302988,"['hip hop', 'rap', 'slap house']"
84,Joel Corry,6DgP9otnZw5z6daOntINxp,264626,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
86,Justin Wellington,5lTjv8Ag00qHSGhvK4JbeF,29767,"['melanesian pop', 'pacific islands pop', 'png pop']"
87,Belly,0FOWNUFHPnMy0vOw1siGqi,235299,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'trap', 'trap soul']"
88,Duncan Laurence,3klZnJvYGIbWritVwQD434,399898,['dutch pop']
90,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,78392343,"['dance pop', 'pop']"
92,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,1488063,['german hip hop']
93,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7,7633211,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']"
96,WILLOW,3rWZHrfrsPBxVy692yAIxF,2064079,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
97,Dave,6Ip8FS7vWT1uKkJSweANQK,2051933,['uk hip hop']
100,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,4741148,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
101,BANDIDO,7CSpCpNGTK9589bTi44SzE,70999,['concurso de talentos argentino']
102,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,39421797,"['modern rock', 'rock']"
103,Internet Money,6MPCFvOQv5cIGfw3jODMF0,626840,"['rap', 'trap']"
105,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,844028,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']"
107,Becky G,4obzFoKoKRHIphyHzJ35G3,11265519,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']"
108,Ingratax,62YF0FglEltB3CnVIjoko8,236109,['concurso de talentos argentino']
111,dhruv,70NcAr4ZtA3FAqU16iQZSb,267974,"['chill r&b', 'nyc pop', 'pop']"
113,Calvin Harris,7CajNmpbOovFoOoasH2HaY,22648811,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']"
114,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,6002436,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
116,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,37307146,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
119,MYA,5Rj6rNR8zIlUUDCs1OyPmW,423313,['pop argentino']
121,DaBaby,4r63FhuTkUYltbVAg5TQnk,9455310,"['north carolina hip hop', 'rap', 'trap']"
122,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,5325392,"['bedroom pop', 'pop']"
123,Tate McRae,45dkTj5sMRSjrmBSBeiHym,2633973,['pop']
124,Avicii,1vCWHaC5f2uS3yhpwWbIA6,21611673,"['dance pop', 'edm', 'pop', 'pop dance']"
125,Vance Joy,10exVja0key0uqUkk6LJRT,2588556,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
126,Nirvana,6olE6TJLqED3rqDCT0FyPh,15083995,"['grunge', 'permanent wave', 'rock']"
130,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,7468026,"['melodic rap', 'rap', 'trap']"
132,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,2122487,"['chill pop', 'pop']"
133,Jamie Miller,2LkkwxA19J8C52wPQl5bG6,324198,['pop soul']
134,Hozier,2FXC3k01G6Gw61bmprjgqS,5113655,"['irish singer-songwriter', 'pop']"
135,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,322906,"['modern rock', 'tropical house', 'uk pop']"
136,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,15530604,"['arrocha', 'sertanejo', 'sertanejo universitario']"
137,Cardi B,4kYSro6naA4h99UJvo89HB,19705825,"['dance pop', 'pop', 'pop rap', 'rap']"
139,Khalid,6LuN9FCkKOj5PcnpouEgny,15127502,"['pop', 'pop r&b']"
140,Queen,1dfeR4HaWDbWqFHLkxsg1d,40775971,"['classic rock', 'glam rock', 'rock']"
141,Myke Towers,7iK8PXO48WeuP03g8YR51W,8445586,"['latin', 'reggaeton', 'trap latino']"
142,MEDUZA,0xRXCcSX89eobfrshSVdyu,517593,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']"
144,Ofenbach,4AKwRarlmsUlLjIwt38NLw,478209,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
145,Camilo,28gNT5KBp7IjEOQoevXf9N,14800084,"['colombian pop', 'reggaeton colombiano']"
146,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,21788702,"['art pop', 'dance pop', 'pop']"
147,Cochise,46HzS7yz0c9udVwtbHk1sx,345291,"['plugg', 'pluggnb']"
148,Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,324574,"['arrocha', 'arrochadeira', 'sertanejo pop']"
150,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,35195983,"['permanent wave', 'pop']"
151,Emilia,0AqlFI0tz2DsEoJlKSIiT9,584463,['pop argentino']
154,Matheus Fernandes,37mqXU98U5GmH5ZDtlHM1c,333083,"['arrocha', 'forro', 'sertanejo pop']"
155,Vegedream,4eYnorQRhVHT2KBl2UyHHd,1372389,"['francoton', 'french hip hop', 'pop urbaine']"
156,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,9806593,['brooklyn drill']
157,AURORA,1WgXqy2Dd70QQOU7Ay074N,2229940,"['art pop', 'norwegian pop']"
160,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,23450573,"['chicago rap', 'melodic rap']"
161,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,4932544,"['brooklyn drill', 'melodic rap', 'nyc rap']"
163,P!nk,1KCSPY1glIKqW2TotWuXOR,12943261,"['dance pop', 'pop']"
167,The Killers,0C0XlULifJtAgn6ZNCW2eu,6461243,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
168,The Police,5NGO30tJxFlKixkPSgXcFE,4838746,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
169,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,8098004,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
170,James Arthur,4IWBUUAFIplrNtaOHcJPRM,9618106,"['pop', 'talent show', 'uk pop']"
171,Normani,2cWZOOzeOm4WmBJRnD5R7I,1858921,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
174,Powfu,6bmlMHgSheBauioMgKv2tn,1051337,"['lo-fi chill', 'sad rap']"
175,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,9397882,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
179,Sarah Cothran,3kft86DbqCNr7rjq3pEj0G,232392,['gen z singer-songwriter']
180,Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,444119,"['contemporary country', 'country', 'country road', 'modern country rock']"
182,John Legend,5y2Xq6xcjJb2jVM54GHK3t,6152179,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
185,Saweetie,6cK3NBO6uP7hh0oyuVELFl,1550400,"['cali rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'trap queen']"
187,SZA,7tYKF4w9nC0nq9CsPZTHyP,7568727,"['pop', 'r&b']"
191,Blxst,4qXC0i02bSFstECuXP2ZpL,273599,['pop rap']
192,MC Zaquin,1OwYxVDNKP9JtSpp5E0uA4,255831,"['funk bh', 'funk carioca']"
193,Topic,0u6GtibW46tFX7koQ6uNJZ,172612,"['dance pop', 'edm', 'electro house', 'german dance', 'pop dance', 'pop edm', 'tropical house']"
194,Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,2860756,"['funk carioca', 'pop nacional']"
195,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,7786959,"['melodic rap', 'rap', 'trap']"
197,Eminem,7dGJo4pcD2V6oG8kP0tJRR,54567568,"['detroit hip hop', 'hip hop', 'rap']"
203,KSI,1nzgtKYFckznkcVMR3Gg4z,2333579,['uk hip hop']
206,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,8492415,"['hip hop', 'rap']"
207,Pashanim,34LetYSjEuG2fBb4Z8PwPg,305059,"['german alternative rap', 'german drill', 'german hip hop']"
208,Tion Wayne,7b79bQFziJFedJb75k6hFt,526414,['london rap']
211,BLANCO,1MRiIeZbc0cRuxOafDUCtH,847664,['italian pop']
212,Regard,4ofCBoyEiGSePFAG500xev,178513,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
214,John Mayer,0hEurMDQu99nJRq8pTxO14,5477849,"['neo mellow', 'pop rock', 'singer-songwriter']"
216,Mc Davi,1cYhx7ZOhYoVmnDPb9KMwo,3136559,"['funk carioca', 'funk ostentacao', 'funk paulista']"
222,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,34394609,"['dance pop', 'pop', 'post-teen pop']"
223,Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,441217,"['hip hop', 'queens hip hop', 'rap', 'sudanese hip hop', 'sudanese pop', 'underground hip hop']"
225,Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,1495568,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
226,TWICE,7n2Ycct7Beij7Dj7meI4X0,13137244,"['k-pop', 'k-pop girl group']"
227,BIA,6veh5zbFpm31XsPdjBgPER,305704,"['pop', 'r&b', 'rap latina', 'trap queen']"
228,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,4023538,"['black americana', 'contemporary country', 'country road']"
229,Alex Rose,2DspEsT7UXGKd2VaaedgG4,2770189,"['latin', 'reggaeton', 'trap latino']"
230,Dj Guuga,1cNPXWhKfjI0fT5EMCnamR,726884,"['arrocha', 'arrochadeira', 'funk carioca', 'funk paulista', 'rave funk']"
233,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,18976152,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
234,Oasis,2DaxqgrOhkeH0fpeiQq2f4,7239044,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
235,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,2222824,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
237,Big Red Machine,7gXy60xRcwYujBFoYHnR2O,126195,"['eau claire indie', 'folktronica', 'indie folk', 'indie pop']"
240,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,7425327,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
241,StarBoi3,2WgfkM8S11vg4kxLgDY3F5,24341,[]
242,Lorde,163tK9Wjr9P9DmM0AVK7lm,9315486,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']"
244,Shirin David,0JBdTCGs111JKKYfLqOEBa,736784,"['frauenrap', 'german pop']"
245,CJ,7arQA31aZVS8yS6zUveWzb,205198,['nyc rap']
247,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,17902323,"['dance pop', 'pop', 'post-teen pop']"
248,Gym Class Heroes,4IJczjB0fJ04gs4uvP0Fli,1357722,"['dance pop', 'pop rap']"
250,sangiovanni,7dL0nOHwnSAsNAwpkPSGWP,623371,[]
252,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,14236082,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
266,Migos,6oMuImdp5ZcFhWP0ESe6mG,12270580,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
269,Fedez,3pgCLfNbw5ozIfoNsvDU7i,1769023,['italian pop']
271,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,105253,['nz pop']
273,Boza,2NfSBtmWe7oPw1EmetJVso,409519,"['latin', 'latin pop', 'reggaeton', 'trap latino']"
275,Soso Maness,0oeiA5U9u1U45Gos5cywUU,403815,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
276,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,16452847,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
278,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,35825062,"['emo rap', 'miami hip hop']"
281,Nathan Evans,1PKErrAhYFdfrDymGHRQRo,209915,[]
282,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,2572201,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']"
284,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,4522434,"['ohio hip hop', 'pop rap']"
289,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,15506200,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
290,Rochy RD,4riOEaOW5hCeqomFDBk0aP,539851,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']"
291,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,21553450,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
301,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,5108671,"['dance pop', 'pop']"
